,title,author,theme,genre,volumes,info,img_element,paga_url
0,鬼滅の刃,吾峠呼世晴,バトル・アクション,少年マンガ,完結・全23巻,時は大正時代。炭を売る心優しき少年・炭治郎の日常は、家族を鬼に皆殺しにされたことで一変する。唯一生き残ったものの、鬼に変貌した妹・禰豆子を元に戻すため、また家族を殺した鬼を討つため、炭治郎と禰豆子は旅立つ!! 血風剣戟冒険譚、開幕!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088824954.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/66091
1,進撃の巨人,諫山創,SF・ファンタジー,少年マンガ,完結・全34巻,"巨人がすべてを支配する世界。巨人の餌と化した人類は、巨大な壁を築き、壁外への自由と引き換えに侵略を防いでいた。だが、名ばかりの平和は壁を越える大巨人の出現により崩れ、絶望の闘いが始まってしまう。
",https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4065234174.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/62865
2,ワンピース ONE PIECE,尾田栄一郎,バトル・アクション,少年マンガ,既刊106巻,時は大海賊時代。いまや伝説の海賊王G・ロジャーの遺した『ひとつなぎの大秘宝』を巡って、幾人もの海賊達が戦っていた。そんな海賊に憧れる少年ルフィは、海賊王目指して大いなる旅に出る!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088836448.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16469
3,約束のネバーランド,出水ぽすか,SF・ファンタジー,少年マンガ,完結・全20巻,母と慕う彼女は親ではない。共に暮らす彼らは兄弟ではない。エマ・ノーマン・レイの三人はこの小さな孤児院で幸せな毎日を送っていた。しかし、彼らの日常はある日突然終わりを告げた。真実を知った彼らを待つ運命とは…!?,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088823753.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/99950
4,チェンソーマン,藤本タツキ,SF・ファンタジー,少年マンガ,既刊15巻,悪魔のポチタと共にデビルハンターとして借金取りにこき使われる超貧乏な少年・デンジ。ド底辺の日々は、残忍な裏切りで一変する!!　悪魔をその身に宿し、悪魔を狩る、新時代ダークヒーローアクション、開幕！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/408883464X.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/117177
5,呪術廻戦,芥見下々,バトル・アクション,少年マンガ,既刊23巻,類稀な身体能力を持つ高校生・虎杖悠仁は、病床に伏せる祖父の見舞いを日課にしていた。だがある日学校に眠る「呪物」の封印が解かれ、化物が現れてしまう。取り残された先輩を救う為、校舎へ乗り込む虎杖だが!?,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088836286.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/114161
6,SPY×FAMILY,遠藤達哉,ミステリー・サスペンス,少年マンガ,既刊11巻,凄腕スパイ＜黄昏＞は、より良き世界のため日々、諜報任務にあたっていた。ある日、新たな困難な司令が下る——…。任務のため、仮初めの家族をつくり、新生活が始まるのだが!?スパイ×アクション×特殊家族コメディ！,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088833139.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/118207
7,鋼の錬金術師,荒川弘,SF・ファンタジー,少年マンガ,完結・全27巻,兄・エドワード・エルリック、弟・アルフォンス。2人の若き天才錬金術師は、幼いころ、病気で失った母を甦らせるため禁断の人体錬成を試みる。しかしその代償はあまりにも高すぎた…。錬成は失敗、エドワードはみずからの左足と、ただ一人の肉親・アルフォンスを失ってしまう。かけがえのない弟をこの世に呼び戻すため、エドワードは自身の右腕を代価とすることで、弟の魂を錬成し、鎧に定着させることに成功。そして兄弟は、すべてを取り戻すための長い旅に出る…。,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4757530544.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/36792
8,HUNTER × HUNTER ハンターハンター,冨樫義博,SF・ファンタジー,少年マンガ,既刊37巻,父と同じハンターになるため、そして父に会うため、ゴンの旅が始まった。同じようにハンターになるため試験を受ける、レオリオ・クラピカ・キルアと共に、次々と難関を突破していくが…！？,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088833651.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/16483
9,キングダム,原泰久,ヒューマンドラマ,青年マンガ,既刊69巻,時は紀元前――。いまだ一度も統一されたことのない中国大陸は、500年の大戦争時代。苛烈な戦乱の世に生きる少年・信は、自らの腕で天下に名を成すことを目指す!!,https://d2ylnsrvo8rdzz.cloudfront.net/v2.0/images/books/4088927478.324.450.resize.jpg?t=1618498800,https://comicspace.jp//title/17100
